page_to_edit,add_link_to,suggested_anchor_text,why,rule_id
(add a link to this page from a higher-level page),https://www.zdscs.com/filing-carrier-claims/,,"Page is more than 3 clicks from home; add an internal link to it from a higher-level page (services hub, top-level service, or a well-linked blog post) to flatten depth",click_depth.exceeds_three_clicks
(add a link to this page from a higher-level page),https://www.zdscs.com/parcel-audit-service/,,"Page is more than 3 clicks from home; add an internal link to it from a higher-level page (services hub, top-level service, or a well-linked blog post) to flatten depth",click_depth.exceeds_three_clicks
(add a link to this page from a higher-level page),https://www.zdscs.com/parcel-audit-services/,,"Page is more than 3 clicks from home; add an internal link to it from a higher-level page (services hub, top-level service, or a well-linked blog post) to flatten depth",click_depth.exceeds_three_clicks
(add a link to this page from a higher-level page),https://www.zdscs.com/parcel-contract-negotiation/,,"Page is more than 3 clicks from home; add an internal link to it from a higher-level page (services hub, top-level service, or a well-linked blog post) to flatten depth",click_depth.exceeds_three_clicks
(add a link to this page from a higher-level page),https://www.zdscs.com/transportation-management-system/,,"Page is more than 3 clicks from home; add an internal link to it from a higher-level page (services hub, top-level service, or a well-linked blog post) to flatten depth",click_depth.exceeds_three_clicks
(add a link to this page from a higher-level page),https://www.zdscs.com/ups-contract-negotiation/,,"Page is more than 3 clicks from home; add an internal link to it from a higher-level page (services hub, top-level service, or a well-linked blog post) to flatten depth",click_depth.exceeds_three_clicks
https://www.zdscs.com/blog/freight-audit-pay-avoiding-fees,https://www.zdscs.com/blog/freight-audit-pay-avoiding-fees/,(server-side 301 redirect),URL duplicates a canonical page — 301-redirect to the canonical to consolidate ranking signals and stop splitting link equity,canonical_conflicts.duplicate_blog_post
https://www.zdscs.com/blog/freight-audit-pay-avoiding-fees,(reduce links — see why),,Blog post links to more than one service page — SOP allows exactly one. Remove all but the most relevant service link,blog_link_budget.too_many_service_links
https://www.zdscs.com/blog/freight-audit-pay-avoiding-fees,(reduce links — see why),,Blog post links to too many other blog posts — reduce to the SOP cap of related-post links,blog_link_budget.too_many_silo_blog_links
https://www.zdscs.com/blog/how-to-audit-your-parcel-spend-step-by-step,https://www.zdscs.com/blog/how-to-audit-your-parcel-spend-step-by-step/,(server-side 301 redirect),URL duplicates a canonical page — 301-redirect to the canonical to consolidate ranking signals and stop splitting link equity,canonical_conflicts.duplicate_blog_post
https://www.zdscs.com/blog/how-to-audit-your-parcel-spend-step-by-step,(reduce links — see why),,Blog post links to more than one service page — SOP allows exactly one. Remove all but the most relevant service link,blog_link_budget.too_many_service_links
https://www.zdscs.com/blog/how-to-audit-your-parcel-spend-step-by-step,(reduce links — see why),,Blog post links to too many other blog posts — reduce to the SOP cap of related-post links,blog_link_budget.too_many_silo_blog_links
https://www.zdscs.com/blog/2024-2025-100-great-supply-chain-partners-supply-chainbrain/,(reduce links — see why),,Blog post links to more than one service page — SOP allows exactly one. Remove all but the most relevant service link,blog_link_budget.too_many_service_links
https://www.zdscs.com/blog/2024-2025-100-great-supply-chain-partners-supply-chainbrain/,(reduce links — see why),,Blog post links to too many other blog posts — reduce to the SOP cap of related-post links,blog_link_budget.too_many_silo_blog_links
https://www.zdscs.com/blog/2024-supply-chain-trends-what-to-expect/,(reduce links — see why),,Blog post links to more than one service page — SOP allows exactly one. Remove all but the most relevant service link,blog_link_budget.too_many_service_links
https://www.zdscs.com/blog/2024-supply-chain-trends-what-to-expect/,(reduce links — see why),,Blog post links to too many other blog posts — reduce to the SOP cap of related-post links,blog_link_budget.too_many_silo_blog_links
